,age_group,sex,ethnicity,region,class
264,C02C,C04A,C12A,C13C,N
265,C02B,C04B,C12A,C13C,N
266,C02B,C04B,C12A,C13I,N
267,C02B,C04A,C12A,C13B,N
268,C02C,C04B,C12C,C13H,Y
269,C02A,C04A,C12A,C13H,N
270,C02C,C04B,C12A,C13C,N
271,C02C,C04B,C12A,C13B,N
272,C02A,C04A,C12D,C13E,N
273,C02C,C04B,C12A,C13L,N
274,C02B,C04A,C12A,C13K,N
275,C02B,C04B,C12A,C13D,Y
276,C02D,C04A,C12D,C13J,N
277,C02C,C04B,C12A,C13J,N
278,C02B,C04B,C12A,C13H,N
279,C02C,C04A,C12A,C13B,N
280,C02C,C04A,C12B,C13A,N
281,C02C,C04B,C12D,C13B,N
282,C02A,C04B,C12A,C13J,N
283,C02C,C04B,C12A,C13J,N
284,C02B,C04B,C12B,C13B,Y
285,C02C,C04A,C12B,C13E,N
286,C02D,C04A,C12A,C13J,N
287,C02C,C04B,C12A,C13C,N
288,C02C,C04B,C12A,C13C,N
289,C02C,C04B,C12A,C13B,N
290,C02A,C04A,C12A,C13L,Y
291,C02A,C04A,C12B,C13J,N
292,C02A,C04B,C12A,C13J,N
293,C02B,C04A,C12D,C13B,N
294,C02C,C04A,C12A,C13J,N
295,C02B,C04A,C12A,C13J,N
296,C02C,C04A,C12A,C13J,N
297,C02B,C04A,C12A,C13C,Y
298,C02C,C04A,C12A,C13B,N
299,C02B,C04A,C12A,C13L,N
300,C02A,C04B,C12D,C13B,N
301,C02B,C04A,C12A,C13B,N
302,C02D,C04A,C12A,C13B,N
303,C02B,C04A,C12D,C13C,Y
304,C02B,C04B,C12A,C13L,N
305,C02B,C04A,C12A,C13K,N
306,C02D,C04A,C12A,C13H,N
307,C02B,C04A,C12A,C13B,N
308,C02C,C04A,C12A,C13B,N
309,C02C,C04B,C12C,C13E,N
310,C02B,C04B,C12A,C13B,Y
311,C02B,C04B,C12A,C13B,N
312,C02B,C04B,C12A,C13A,Y
313,C02C,C04A,C12A,C13B,Y
314,C02B,C04A,C12D,C13F,N
315,C02B,C04B,C12A,C13B,N
316,C02B,C04A,C12C,C13C,Y
317,C02B,C04A,C12A,C13J,N
318,C02D,C04A,C12A,C13B,N
319,C02C,C04B,C12A,C13C,Y
320,C02D,C04B,C12A,C13J,Y
321,C02A,C04B,C12C,C13B,Y
322,C02B,C04B,C12A,C13E,N
323,C02C,C04A,C12A,C13B,N
324,C02C,C04A,C12D,C13J,N
325,C02B,C04B,C12A,C13E,N
326,C02D,C04B,C12A,C13B,N
327,C02C,C04B,C12A,C13B,N
328,C02B,C04A,C12A,C13J,N
329,C02C,C04B,C12B,C13L,Y
330,C02B,C04A,C12A,C13D,Y
331,C02B,C04B,C12B,C13H,N
332,C02B,C04B,C12A,C13B,Y
333,C02A,C04A,C12A,C13B,Y
334,C02D,C04A,C12A,C13C,N
335,C02A,C04B,C12A,C13E,N
336,C02A,C04A,C12A,C13G,N
337,C02D,C04B,C12B,C13B,N
338,C02C,C04B,C12A,C13J,Y
339,C02D,C04A,C12A,C13B,N
340,C02C,C04A,C12B,C13G,Y
341,C02D,C04A,C12A,C13J,N
342,C02C,C04A,C12A,C13H,N
343,C02D,C04B,C12A,C13B,N
344,C02D,C04B,C12B,C13B,N
345,C02A,C04B,C12D,C13E,N
346,C02B,C04B,C12A,C13B,N
347,C02C,C04A,C12A,C13B,N
348,C02C,C04B,C12D,C13H,N
349,C02A,C04B,C12A,C13B,N
350,C02D,C04B,C12B,C13A,N
351,C02B,C04B,C12A,C13C,N
352,C02B,C04A,C12D,C13D,N
353,C02D,C04B,C12D,C13C,N
354,C02A,C04A,C12A,C13E,N
355,C02C,C04A,C12A,C13C,N
356,C02D,C04B,C12A,C13H,N
357,C02B,C04B,C12A,C13D,Y
358,C02B,C04A,C12D,C13A,N
359,C02B,C04A,C12B,C13B,N
360,C02A,C04A,C12C,C13J,N
361,C02B,C04A,C12A,C13B,N
362,C02D,C04A,C12A,C13B,N
363,C02C,C04B,C12A,C13B,N
364,C02A,C04B,C12A,C13L,N
365,C02A,C04B,C12A,C13B,N
366,C02C,C04A,C12D,C13J,Y
367,C02B,C04A,C12A,C13B,Y
368,C02D,C04B,C12A,C13B,N
369,C02C,C04B,C12A,C13H,N
370,C02C,C04A,C12A,C13A,N
371,C02B,C04A,C12D,C13C,N
372,C02D,C04A,C12B,C13F,N
373,C02B,C04A,C12A,C13D,N
374,C02D,C04B,C12A,C13A,N
375,C02D,C04B,C12A,C13C,Y
376,C02B,C04B,C12A,C13I,N
377,C02A,C04B,C12A,C13G,N
378,C02B,C04A,C12A,C13E,N
379,C02B,C04B,C12A,C13J,N
380,C02C,C04B,C12A,C13B,Y
381,C02B,C04B,C12D,C13B,Y
382,C02B,C04B,C12A,C13B,N
383,C02A,C04B,C12A,C13J,N
384,C02B,C04B,C12A,C13H,N
385,C02C,C04B,C12A,C13E,N
386,C02C,C04A,C12A,C13F,N
387,C02D,C04B,C12B,C13J,N
388,C02C,C04B,C12A,C13J,N
389,C02C,C04A,C12A,C13B,N
390,C02C,C04B,C12A,C13I,N
391,C02A,C04B,C12D,C13L,N
392,C02B,C04A,C12A,C13I,N
393,C02D,C04B,C12A,C13B,N
394,C02C,C04B,C12A,C13J,N
395,C02B,C04B,C12B,C13B,N
396,C02B,C04B,C12C,C13B,N
397,C02C,C04B,C12A,C13H,N
398,C02C,C04B,C12A,C13C,N
399,C02D,C04A,C12A,C13H,N
400,C02B,C04A,C12A,C13B,N
401,C02A,C04A,C12A,C13K,N
402,C02B,C04A,C12B,C13K,N
403,C02C,C04B,C12A,C13J,N
404,C02C,C04B,C12A,C13B,N
405,C02C,C04B,C12A,C13H,N
406,C02A,C04B,C12D,C13G,Y
407,C02B,C04A,C12A,C13J,N
408,C02B,C04A,C12A,C13B,Y
409,C02C,C04A,C12A,C13K,N
410,C02A,C04B,C12A,C13B,N
411,C02D,C04A,C12B,C13G,N
412,C02A,C04A,C12D,C13B,N
413,C02C,C04A,C12D,C13G,N
414,C02B,C04B,C12D,C13B,N
415,C02D,C04B,C12A,C13B,Y
416,C02A,C04A,C12A,C13B,N
417,C02D,C04B,C12D,C13B,N
418,C02A,C04A,C12C,C13J,Y
419,C02A,C04A,C12A,C13B,N
420,C02D,C04B,C12A,C13B,N
421,C02B,C04A,C12A,C13B,Y
422,C02C,C04B,C12D,C13A,N
423,C02C,C04B,C12A,C13B,N
424,C02B,C04B,C12A,C13K,N
425,C02D,C04B,C12A,C13J,N
426,C02C,C04A,C12C,C13B,N
427,C02B,C04A,C12A,C13L,N
428,C02A,C04B,C12D,C13C,N
429,C02C,C04B,C12D,C13D,N
430,C02C,C04B,C12A,C13J,N
431,C02B,C04B,C12A,C13B,N
432,C02C,C04A,C12A,C13B,N
433,C02B,C04A,C12B,C13D,N
434,C02C,C04B,C12A,C13C,N
435,C02B,C04B,C12B,C13H,N
436,C02A,C04A,C12B,C13B,Y
437,C02A,C04B,C12A,C13B,N
438,C02D,C04B,C12A,C13D,Y
439,C02A,C04A,C12A,C13B,N
440,C02D,C04B,C12B,C13J,Y
441,C02C,C04A,C12D,C13B,N
442,C02B,C04A,C12A,C13B,N
443,C02D,C04B,C12A,C13B,Y
444,C02C,C04B,C12A,C13C,Y
445,C02B,C04A,C12A,C13L,N
446,C02C,C04B,C12A,C13J,N
447,C02A,C04B,C12A,C13B,N
448,C02C,C04A,C12A,C13E,Y
449,C02A,C04A,C12A,C13E,N
450,C02B,C04A,C12A,C13B,N
451,C02D,C04A,C12D,C13C,Y
452,C02B,C04A,C12A,C13B,N
453,C02B,C04A,C12B,C13H,N
454,C02A,C04B,C12A,C13B,N
455,C02C,C04B,C12A,C13H,N
456,C02D,C04B,C12A,C13I,Y
457,C02A,C04B,C12D,C13H,N
458,C02B,C04A,C12C,C13H,Y
459,C02B,C04B,C12A,C13F,N
460,C02B,C04B,C12D,C13C,Y
461,C02C,C04B,C12A,C13G,N
462,C02D,C04B,C12B,C13H,N
463,C02C,C04B,C12A,C13D,N
464,C02B,C04A,C12A,C13C,N
465,C02D,C04A,C12A,C13J,N
466,C02C,C04B,C12A,C13B,N
467,C02B,C04A,C12B,C13G,N
468,C02B,C04B,C12D,C13J,Y
469,C02D,C04A,C12A,C13A,N
470,C02A,C04A,C12C,C13K,N
471,C02B,C04B,C12A,C13B,N
472,C02C,C04A,C12A,C13C,N
473,C02C,C04A,C12A,C13B,N
474,C02C,C04A,C12A,C13H,N
475,C02C,C04B,C12A,C13B,N
476,C02D,C04B,C12D,C13G,N
477,C02A,C04A,C12B,C13D,N
478,C02A,C04B,C12B,C13E,N
479,C02C,C04A,C12A,C13B,N
480,C02C,C04B,C12A,C13L,N
481,C02C,C04B,C12D,C13C,Y
482,C02D,C04A,C12B,C13J,N
483,C02A,C04B,C12D,C13A,N
484,C02C,C04B,C12A,C13B,N
485,C02D,C04B,C12A,C13B,N
486,C02C,C04A,C12C,C13H,N
487,C02A,C04A,C12A,C13B,N
488,C02C,C04A,C12A,C13B,N
489,C02C,C04B,C12A,C13E,N
490,C02B,C04B,C12A,C13C,N
491,C02B,C04A,C12D,C13B,N
492,C02C,C04A,C12D,C13J,N
493,C02D,C04B,C12A,C13B,Y
494,C02C,C04A,C12D,C13D,Y
495,C02D,C04A,C12D,C13B,N
496,C02D,C04A,C12C,C13B,Y
497,C02A,C04A,C12B,C13B,N
498,C02C,C04A,C12A,C13D,N
499,C02B,C04A,C12A,C13H,N
500,C02A,C04A,C12B,C13D,N
501,C02D,C04B,C12A,C13C,N
502,C02C,C04B,C12A,C13B,N
503,C02B,C04A,C12A,C13D,N
504,C02C,C04A,C12D,C13K,N
505,C02A,C04A,C12A,C13B,N
506,C02A,C04B,C12A,C13J,N
507,C02C,C04A,C12A,C13H,N
508,C02D,C04A,C12A,C13C,N
509,C02A,C04B,C12A,C13I,N
510,C02A,C04A,C12A,C13F,Y
511,C02B,C04B,C12A,C13E,N
512,C02C,C04B,C12A,C13B,N
513,C02C,C04B,C12A,C13J,N
514,C02A,C04B,C12A,C13B,N
515,C02A,C04A,C12A,C13B,N
516,C02A,C04A,C12A,C13H,N
517,C02C,C04B,C12A,C13J,N
518,C02D,C04B,C12A,C13I,Y
519,C02B,C04A,C12A,C13B,N
520,C02D,C04B,C12D,C13B,N
521,C02B,C04A,C12A,C13B,N
522,C02B,C04B,C12D,C13J,Y
523,C02C,C04A,C12A,C13K,N
524,C02D,C04A,C12A,C13B,N
525,C02C,C04B,C12A,C13B,Y
526,C02C,C04B,C12A,C13B,N
527,C02B,C04B,C12D,C13C,N
528,C02B,C04B,C12A,C13E,N
529,C02C,C04A,C12D,C13I,N
530,C02C,C04B,C12B,C13D,Y
531,C02B,C04A,C12A,C13D,N
532,C02A,C04B,C12D,C13B,N
533,C02C,C04B,C12A,C13H,N
534,C02A,C04A,C12A,C13B,Y
535,C02D,C04A,C12C,C13D,N
536,C02A,C04A,C12A,C13B,N
537,C02A,C04A,C12D,C13J,N
538,C02A,C04A,C12B,C13B,N
539,C02C,C04B,C12A,C13H,N
540,C02D,C04A,C12A,C13C,N
541,C02C,C04B,C12A,C13K,Y
542,C02C,C04B,C12A,C13B,N
543,C02A,C04B,C12A,C13B,Y
544,C02A,C04A,C12A,C13C,N
545,C02B,C04A,C12A,C13C,N
546,C02C,C04B,C12A,C13J,N
547,C02B,C04A,C12A,C13H,N
548,C02C,C04B,C12A,C13H,N
549,C02C,C04A,C12A,C13L,N
550,C02C,C04B,C12B,C13K,N
551,C02B,C04A,C12A,C13G,N
552,C02C,C04B,C12A,C13H,N
553,C02A,C04A,C12A,C13B,N
554,C02B,C04A,C12B,C13D,N
555,C02B,C04A,C12A,C13B,N
556,C02B,C04B,C12A,C13B,N
557,C02A,C04B,C12A,C13D,N
558,C02C,C04B,C12A,C13L,N
559,C02C,C04A,C12A,C13J,N
560,C02D,C04A,C12B,C13D,N
561,C02C,C04B,C12A,C13H,N
562,C02B,C04A,C12A,C13J,N
563,C02C,C04A,C12B,C13B,N
564,C02B,C04A,C12A,C13D,N
565,C02D,C04B,C12A,C13A,N
566,C02C,C04B,C12A,C13L,N
567,C02D,C04A,C12A,C13J,N
568,C02D,C04B,C12C,C13B,N
569,C02D,C04B,C12A,C13L,Y
570,C02B,C04B,C12C,C13E,Y
571,C02D,C04A,C12A,C13B,N
572,C02C,C04B,C12A,C13B,Y
573,C02C,C04A,C12A,C13B,Y
574,C02C,C04B,C12B,C13B,Y
575,C02D,C04B,C12A,C13K,N
576,C02D,C04B,C12B,C13E,N
577,C02B,C04A,C12A,C13G,N
578,C02D,C04B,C12A,C13J,N
579,C02C,C04A,C12A,C13B,N
580,C02C,C04A,C12A,C13C,N
581,C02D,C04A,C12A,C13C,N
582,C02A,C04A,C12D,C13K,Y
583,C02A,C04A,C12A,C13G,N
584,C02A,C04A,C12A,C13H,N
585,C02B,C04A,C12B,C13J,N
586,C02D,C04A,C12B,C13J,N
587,C02D,C04B,C12A,C13L,N
588,C02B,C04B,C12A,C13B,N
589,C02C,C04B,C12A,C13H,N
590,C02D,C04A,C12A,C13C,N
591,C02B,C04B,C12D,C13B,Y
592,C02B,C04A,C12B,C13B,N
593,C02A,C04A,C12A,C13G,N
594,C02C,C04A,C12C,C13H,N
595,C02C,C04A,C12A,C13B,N
596,C02D,C04B,C12A,C13B,N
597,C02C,C04B,C12A,C13J,Y
598,C02C,C04A,C12B,C13I,Y
599,C02C,C04B,C12A,C13H,N
600,C02A,C04A,C12A,C13B,N
601,C02C,C04A,C12A,C13J,N
602,C02C,C04B,C12A,C13H,N
603,C02A,C04A,C12A,C13H,N
604,C02C,C04A,C12A,C13H,Y
605,C02B,C04B,C12A,C13J,Y
606,C02C,C04A,C12B,C13G,N
607,C02C,C04A,C12A,C13B,N
608,C02D,C04A,C12C,C13B,N
609,C02A,C04B,C12A,C13J,N
610,C02C,C04A,C12A,C13H,N
611,C02B,C04A,C12A,C13C,N
612,C02C,C04A,C12A,C13B,N
613,C02A,C04A,C12A,C13C,N
614,C02C,C04B,C12A,C13J,Y
615,C02D,C04A,C12A,C13B,N
616,C02B,C04A,C12A,C13C,Y
617,C02A,C04A,C12A,C13J,N
618,C02C,C04B,C12A,C13B,N
619,C02C,C04A,C12A,C13D,N
620,C02A,C04B,C12A,C13J,N
621,C02B,C04A,C12A,C13B,N
622,C02C,C04A,C12A,C13G,Y
623,C02B,C04A,C12A,C13B,N
624,C02C,C04B,C12A,C13F,N
625,C02B,C04A,C12A,C13B,N
626,C02C,C04B,C12A,C13B,Y
627,C02B,C04A,C12C,C13B,Y
628,C02B,C04B,C12A,C13B,N
629,C02D,C04B,C12A,C13B,N
630,C02C,C04B,C12A,C13I,Y
631,C02C,C04A,C12A,C13G,N
632,C02D,C04B,C12A,C13L,Y
633,C02A,C04A,C12A,C13K,Y
634,C02A,C04B,C12A,C13B,Y
635,C02D,C04B,C12A,C13D,N
636,C02C,C04A,C12A,C13K,N
637,C02A,C04A,C12A,C13G,N
638,C02D,C04B,C12C,C13A,N
639,C02C,C04B,C12D,C13B,N
640,C02A,C04A,C12A,C13J,N
641,C02B,C04B,C12C,C13I,N
642,C02B,C04A,C12A,C13H,N
643,C02B,C04A,C12A,C13B,N
644,C02D,C04B,C12A,C13B,N
645,C02C,C04B,C12A,C13B,N
646,C02C,C04B,C12A,C13E,N
647,C02C,C04A,C12A,C13C,N
648,C02A,C04A,C12A,C13B,N
649,C02A,C04B,C12A,C13E,N
650,C02D,C04A,C12B,C13I,N
651,C02D,C04A,C12A,C13I,N
652,C02B,C04A,C12C,C13G,N
653,C02B,C04A,C12A,C13H,N
654,C02B,C04B,C12A,C13K,Y
655,C02D,C04B,C12A,C13B,N
656,C02C,C04A,C12A,C13B,N
657,C02B,C04B,C12B,C13J,N
658,C02C,C04A,C12A,C13G,Y
659,C02C,C04B,C12A,C13G,N
660,C02A,C04A,C12A,C13I,Y
661,C02A,C04B,C12D,C13C,N
662,C02B,C04B,C12B,C13D,N
663,C02B,C04A,C12D,C13B,N
664,C02B,C04B,C12A,C13B,N
665,C02A,C04A,C12D,C13G,N
666,C02B,C04A,C12B,C13C,N
667,C02B,C04B,C12A,C13E,N
668,C02B,C04A,C12B,C13E,N
669,C02B,C04A,C12A,C13B,N
670,C02C,C04A,C12B,C13B,N
671,C02C,C04A,C12A,C13K,N
672,C02B,C04B,C12D,C13H,N
673,C02B,C04B,C12C,C13B,Y
674,C02B,C04A,C12A,C13J,N
675,C02A,C04B,C12A,C13B,N
676,C02D,C04B,C12A,C13L,N
677,C02B,C04B,C12A,C13C,N
678,C02C,C04A,C12A,C13J,Y
679,C02D,C04A,C12A,C13B,N
680,C02B,C04A,C12B,C13B,N
681,C02D,C04B,C12A,C13I,N
682,C02C,C04A,C12B,C13C,N
683,C02A,C04A,C12A,C13B,N
684,C02D,C04B,C12B,C13B,N
685,C02D,C04B,C12A,C13H,N
686,C02B,C04A,C12A,C13B,N
687,C02B,C04B,C12C,C13B,N
688,C02B,C04B,C12C,C13J,Y
689,C02C,C04B,C12A,C13B,N
690,C02B,C04B,C12C,C13J,N
