,age_group,sex,class
150,C02B,C04B,N
151,C02C,C04B,N
152,C02A,C04A,N
153,C02B,C04B,N
154,C02B,C04B,N
155,C02C,C04A,N
156,C02B,C04A,N
157,C02B,C04A,N
158,C02B,C04B,Y
159,C02C,C04A,Y
160,C02C,C04A,N
161,C02B,C04B,N
162,C02D,C04A,N
163,C02A,C04B,N
164,C02C,C04A,N
165,C02A,C04A,N
166,C02B,C04A,N
167,C02B,C04A,N
168,C02B,C04B,N
169,C02C,C04A,N
170,C02B,C04B,N
171,C02C,C04A,N
172,C02C,C04A,N
173,C02B,C04A,N
174,C02B,C04B,N
175,C02B,C04B,N
176,C02A,C04B,N
177,C02C,C04B,N
178,C02D,C04A,N
179,C02B,C04B,N
180,C02A,C04A,N
181,C02D,C04B,N
182,C02C,C04B,N
183,C02D,C04B,Y
184,C02D,C04B,N
185,C02C,C04A,Y
186,C02D,C04B,N
187,C02D,C04B,N
188,C02D,C04A,N
189,C02A,C04A,N
190,C02C,C04B,Y
191,C02C,C04A,N
192,C02B,C04B,N
193,C02C,C04A,N
194,C02B,C04A,N
195,C02C,C04B,N
196,C02D,C04A,N
197,C02D,C04B,N
198,C02C,C04A,N
199,C02C,C04A,N
200,C02A,C04A,N
201,C02B,C04A,Y
202,C02B,C04A,N
203,C02C,C04A,N
204,C02C,C04B,N
205,C02C,C04A,N
206,C02C,C04A,Y
207,C02C,C04A,Y
208,C02A,C04B,N
209,C02C,C04B,N
210,C02C,C04B,N
211,C02B,C04A,N
212,C02D,C04B,N
213,C02B,C04A,N
214,C02B,C04B,Y
215,C02C,C04B,Y
216,C02A,C04B,N
217,C02B,C04B,N
218,C02B,C04B,N
219,C02D,C04B,N
220,C02C,C04B,Y
221,C02C,C04A,N
222,C02B,C04A,N
223,C02D,C04B,N
224,C02C,C04A,N
225,C02B,C04A,N
226,C02D,C04B,Y
227,C02B,C04A,N
228,C02B,C04B,N
229,C02D,C04A,N
230,C02B,C04A,N
231,C02B,C04B,Y
232,C02B,C04A,Y
233,C02B,C04A,N
234,C02C,C04B,N
235,C02B,C04A,N
236,C02C,C04B,N
237,C02C,C04B,N
238,C02C,C04B,Y
239,C02C,C04A,N
240,C02A,C04B,Y
241,C02C,C04B,N
242,C02C,C04A,N
243,C02C,C04B,N
244,C02A,C04A,N
245,C02C,C04A,N
246,C02B,C04A,N
247,C02B,C04B,N
248,C02D,C04A,N
249,C02C,C04A,N
250,C02D,C04B,N
251,C02C,C04B,N
252,C02C,C04B,N
253,C02D,C04B,Y
254,C02C,C04B,N
255,C02D,C04B,Y
256,C02C,C04A,Y
257,C02A,C04A,N
258,C02B,C04A,Y
259,C02D,C04B,N
260,C02D,C04B,N
261,C02A,C04A,N
262,C02D,C04B,N
263,C02C,C04A,N
264,C02B,C04B,N
265,C02D,C04A,N
266,C02C,C04B,Y
267,C02A,C04A,Y
268,C02A,C04A,N
269,C02B,C04B,Y
270,C02B,C04B,N
271,C02C,C04B,N
272,C02C,C04A,N
273,C02C,C04B,N
274,C02B,C04A,Y
275,C02C,C04A,N
276,C02C,C04B,Y
277,C02C,C04B,N
278,C02B,C04A,N
279,C02A,C04A,N
280,C02C,C04B,N
281,C02B,C04A,N
282,C02C,C04A,N
283,C02B,C04B,N
284,C02C,C04B,N
285,C02C,C04B,N
286,C02C,C04A,Y
287,C02C,C04A,N
288,C02D,C04A,Y
289,C02D,C04B,Y
290,C02B,C04B,N
291,C02C,C04A,N
292,C02C,C04B,N
293,C02D,C04B,N
294,C02C,C04B,N
295,C02A,C04B,N
296,C02C,C04B,Y
297,C02B,C04B,N
298,C02A,C04A,N
299,C02A,C04B,N
300,C02D,C04A,N
301,C02D,C04A,N
302,C02A,C04B,N
303,C02D,C04A,N
304,C02C,C04B,N
305,C02B,C04A,Y
306,C02C,C04B,N
307,C02B,C04B,N
308,C02C,C04B,N
309,C02D,C04B,N
310,C02D,C04A,N
311,C02B,C04A,N
312,C02B,C04B,Y
313,C02C,C04A,N
314,C02A,C04B,N
315,C02D,C04A,N
316,C02D,C04B,N
317,C02B,C04A,N
318,C02C,C04A,N
319,C02D,C04A,N
320,C02A,C04A,N
321,C02C,C04B,N
322,C02B,C04B,N
323,C02C,C04A,N
324,C02A,C04A,N
325,C02C,C04B,Y
326,C02B,C04B,N
327,C02D,C04A,N
328,C02A,C04A,N
329,C02B,C04B,N
330,C02D,C04B,N
331,C02A,C04B,N
332,C02A,C04B,N
333,C02A,C04B,N
334,C02C,C04A,N
335,C02D,C04A,N
336,C02B,C04A,N
337,C02A,C04B,N
338,C02A,C04B,N
339,C02C,C04B,N
340,C02A,C04B,N
341,C02D,C04A,N
342,C02B,C04B,N
343,C02C,C04B,N
344,C02B,C04A,N
345,C02D,C04A,Y
346,C02C,C04A,N
347,C02C,C04B,N
348,C02B,C04A,N
349,C02D,C04B,N
350,C02A,C04A,N
351,C02D,C04B,N
352,C02C,C04B,N
353,C02B,C04A,N
354,C02B,C04A,N
355,C02B,C04B,N
356,C02A,C04A,N
357,C02C,C04B,N
358,C02B,C04A,N
359,C02D,C04A,N
360,C02A,C04A,N
361,C02C,C04B,N
362,C02B,C04A,Y
363,C02D,C04B,Y
364,C02C,C04A,Y
365,C02B,C04B,N
366,C02C,C04B,N
367,C02A,C04A,N
368,C02D,C04B,Y
369,C02B,C04B,Y
370,C02A,C04A,N
371,C02C,C04B,N
372,C02B,C04B,Y
373,C02C,C04A,N
374,C02C,C04B,N
375,C02A,C04A,N
376,C02B,C04B,Y
377,C02D,C04B,Y
378,C02C,C04B,N
379,C02C,C04B,Y
380,C02A,C04A,N
381,C02B,C04B,N
382,C02C,C04B,N
383,C02A,C04A,N
384,C02C,C04A,N
385,C02B,C04A,N
386,C02C,C04B,N
387,C02B,C04A,N
388,C02D,C04B,N
389,C02D,C04B,N
390,C02A,C04A,Y
391,C02D,C04B,N
392,C02C,C04A,N
393,C02D,C04B,N
394,C02B,C04A,N
395,C02C,C04A,N
396,C02B,C04B,N
397,C02B,C04B,N
398,C02C,C04A,N
399,C02B,C04B,Y
400,C02C,C04B,N
401,C02B,C04A,N
402,C02B,C04A,N
403,C02C,C04B,Y
404,C02B,C04B,Y
405,C02A,C04A,Y
406,C02B,C04B,N
407,C02B,C04B,N
408,C02D,C04A,N
409,C02C,C04B,N
410,C02A,C04B,N
411,C02A,C04B,N
412,C02A,C04B,N
413,C02B,C04B,N
414,C02A,C04B,N
415,C02D,C04A,N
416,C02A,C04B,N
417,C02B,C04B,N
418,C02B,C04B,N
419,C02D,C04A,N
420,C02C,C04B,N
421,C02C,C04A,N
422,C02C,C04B,N
423,C02C,C04A,N
424,C02D,C04B,N
425,C02D,C04A,N
426,C02A,C04A,N
427,C02B,C04A,N
428,C02B,C04A,N
429,C02C,C04B,N
430,C02C,C04B,Y
431,C02B,C04A,N
432,C02B,C04A,N
433,C02D,C04B,N
434,C02B,C04A,Y
435,C02B,C04B,N
436,C02C,C04A,N
437,C02A,C04B,N
438,C02B,C04B,N
439,C02B,C04B,N
440,C02B,C04B,N
441,C02B,C04A,N
442,C02C,C04B,N
443,C02B,C04B,N
444,C02B,C04A,N
445,C02B,C04A,Y
446,C02B,C04A,N
447,C02D,C04B,Y
448,C02C,C04B,N
449,C02D,C04A,N
450,C02C,C04A,Y
451,C02C,C04A,N
452,C02B,C04B,Y
453,C02B,C04B,N
454,C02A,C04A,N
455,C02C,C04B,N
456,C02B,C04B,N
457,C02B,C04B,N
458,C02D,C04B,N
459,C02C,C04A,N
460,C02C,C04B,N
461,C02D,C04B,N
462,C02D,C04A,Y
463,C02B,C04B,N
464,C02C,C04B,N
465,C02B,C04B,N
466,C02B,C04A,N
467,C02A,C04A,Y
468,C02D,C04B,N
469,C02A,C04B,N
470,C02C,C04B,Y
471,C02A,C04B,N
472,C02B,C04A,N
473,C02C,C04A,N
474,C02D,C04B,Y
475,C02A,C04A,N
476,C02D,C04A,N
477,C02B,C04A,N
478,C02B,C04B,Y
479,C02C,C04B,N
480,C02D,C04B,N
481,C02B,C04B,Y
482,C02D,C04A,N
483,C02C,C04A,Y
484,C02A,C04A,N
485,C02B,C04A,N
486,C02C,C04B,Y
487,C02D,C04A,N
488,C02C,C04A,Y
489,C02B,C04B,Y
490,C02C,C04B,N
491,C02C,C04A,N
492,C02C,C04B,N
493,C02D,C04B,N
494,C02B,C04B,N
495,C02D,C04B,Y
496,C02D,C04A,N
497,C02C,C04A,N
498,C02D,C04B,N
499,C02C,C04A,N
500,C02D,C04A,N
501,C02B,C04B,N
502,C02B,C04B,N
503,C02C,C04A,N
504,C02B,C04A,N
505,C02D,C04A,Y
506,C02C,C04A,N
507,C02A,C04B,N
508,C02B,C04A,Y
509,C02A,C04B,N
510,C02C,C04A,N
511,C02C,C04A,N
512,C02C,C04B,N
513,C02B,C04A,N
514,C02D,C04B,N
515,C02C,C04A,N
516,C02B,C04B,N
517,C02D,C04B,N
518,C02B,C04B,N
519,C02B,C04A,N
520,C02C,C04B,N
521,C02D,C04A,Y
522,C02C,C04A,N
523,C02C,C04B,N
524,C02B,C04A,N
525,C02C,C04A,N
526,C02B,C04A,Y
527,C02B,C04B,N
528,C02A,C04A,N
529,C02C,C04B,N
530,C02C,C04A,N
531,C02A,C04B,Y
532,C02C,C04A,N
533,C02B,C04B,Y
534,C02B,C04A,Y
535,C02D,C04B,N
536,C02C,C04A,N
537,C02B,C04B,N
538,C02C,C04A,N
539,C02C,C04A,N
540,C02B,C04A,N
541,C02B,C04B,N
542,C02D,C04A,N
543,C02B,C04B,Y
544,C02A,C04A,N
545,C02A,C04B,N
546,C02B,C04B,N
547,C02A,C04B,N
548,C02C,C04B,N
549,C02A,C04B,N
550,C02A,C04A,N
551,C02B,C04A,N
552,C02B,C04A,N
553,C02B,C04B,Y
554,C02C,C04A,N
555,C02A,C04A,Y
556,C02B,C04B,N
557,C02D,C04A,N
558,C02D,C04A,N
559,C02C,C04A,N
560,C02C,C04B,Y
561,C02B,C04B,N
562,C02B,C04A,N
563,C02C,C04B,N
564,C02D,C04B,N
565,C02C,C04A,N
566,C02A,C04B,N
567,C02D,C04A,N
568,C02C,C04B,Y
569,C02C,C04B,N
570,C02C,C04A,N
571,C02D,C04A,N
572,C02C,C04A,N
573,C02C,C04B,N
574,C02B,C04A,N
575,C02C,C04B,Y
576,C02A,C04A,N
577,C02C,C04A,N
578,C02A,C04B,N
579,C02A,C04B,Y
580,C02A,C04B,N
581,C02C,C04A,N
582,C02B,C04B,N
583,C02A,C04A,Y
584,C02C,C04A,N
585,C02C,C04B,N
586,C02C,C04B,N
587,C02C,C04B,Y
588,C02C,C04A,N
589,C02C,C04A,N
590,C02C,C04A,N
591,C02C,C04B,N
592,C02C,C04B,N
593,C02B,C04B,N
594,C02D,C04A,N
595,C02B,C04B,N
596,C02D,C04B,Y
597,C02A,C04A,Y
598,C02C,C04A,N
599,C02B,C04A,N
600,C02B,C04B,N
601,C02B,C04A,Y
602,C02A,C04A,N
603,C02B,C04B,N
604,C02B,C04B,N
605,C02B,C04B,N
606,C02B,C04A,N
607,C02C,C04B,N
608,C02B,C04B,N
609,C02A,C04B,N
610,C02B,C04B,N
611,C02D,C04A,N
612,C02C,C04B,Y
613,C02C,C04B,N
614,C02A,C04B,Y
615,C02A,C04B,N
616,C02C,C04A,N
617,C02C,C04A,N
618,C02A,C04A,Y
619,C02A,C04B,N
620,C02A,C04B,N
621,C02D,C04A,N
622,C02D,C04A,N
623,C02A,C04B,N
624,C02D,C04A,N
625,C02A,C04A,N
626,C02C,C04A,Y
627,C02D,C04B,Y
628,C02C,C04A,N
629,C02B,C04B,N
630,C02D,C04A,Y
631,C02B,C04B,N
632,C02B,C04A,N
633,C02B,C04A,N
634,C02B,C04B,N
635,C02C,C04A,Y
636,C02B,C04B,N
637,C02D,C04A,Y
638,C02A,C04A,N
639,C02C,C04B,N
640,C02A,C04A,N
641,C02B,C04B,N
642,C02C,C04B,N
643,C02A,C04B,N
644,C02B,C04A,N
645,C02B,C04B,N
646,C02B,C04B,N
647,C02B,C04A,N
648,C02B,C04B,Y
649,C02C,C04B,N
650,C02C,C04A,N
651,C02A,C04A,Y
652,C02D,C04B,N
653,C02B,C04B,Y
654,C02C,C04A,N
655,C02B,C04B,N
656,C02C,C04B,N
657,C02B,C04B,N
658,C02B,C04B,Y
659,C02C,C04A,N
660,C02C,C04A,N
661,C02D,C04A,N
662,C02B,C04A,Y
663,C02D,C04B,N
664,C02C,C04A,N
665,C02D,C04B,N
666,C02C,C04A,N
667,C02D,C04A,N
668,C02D,C04A,N
669,C02B,C04A,N
670,C02C,C04A,N
671,C02C,C04B,Y
672,C02B,C04B,N
673,C02B,C04B,N
674,C02B,C04A,N
675,C02B,C04B,N
676,C02C,C04B,N
677,C02D,C04B,N
678,C02B,C04B,N
679,C02D,C04A,N
680,C02C,C04B,N
681,C02A,C04B,N
682,C02C,C04B,Y
683,C02C,C04B,N
684,C02B,C04A,N
685,C02B,C04B,Y
686,C02A,C04B,N
687,C02A,C04A,N
688,C02B,C04A,Y
689,C02A,C04B,Y
690,C02D,C04B,N
691,C02A,C04B,Y
692,C02B,C04A,N
693,C02C,C04B,N
694,C02B,C04A,N
695,C02D,C04A,N
696,C02D,C04B,N
697,C02B,C04A,N
698,C02B,C04A,Y
699,C02B,C04B,Y
700,C02A,C04A,N
701,C02C,C04A,Y
702,C02A,C04A,N
703,C02D,C04B,N
704,C02B,C04B,N
705,C02B,C04A,N
706,C02B,C04A,N
707,C02B,C04B,N
708,C02B,C04B,N
709,C02C,C04B,N
710,C02B,C04A,N
711,C02C,C04B,N
712,C02B,C04B,N
713,C02B,C04A,N
714,C02D,C04A,N
715,C02A,C04B,N
716,C02B,C04B,N
717,C02B,C04B,N
718,C02B,C04B,N
719,C02D,C04B,N
720,C02B,C04B,N
721,C02C,C04B,N
722,C02C,C04A,N
723,C02B,C04B,Y
724,C02B,C04A,N
725,C02A,C04A,Y
726,C02B,C04B,N
727,C02C,C04A,N
728,C02D,C04B,N
729,C02A,C04B,N
730,C02C,C04A,N
731,C02B,C04A,N
732,C02D,C04A,N
733,C02C,C04A,N
734,C02A,C04B,N
735,C02C,C04A,N
736,C02D,C04B,Y
737,C02B,C04B,N
738,C02C,C04B,N
739,C02B,C04A,N
740,C02D,C04B,N
741,C02C,C04B,N
742,C02A,C04B,N
743,C02C,C04B,Y
744,C02C,C04B,N
745,C02A,C04A,N
746,C02B,C04A,N
747,C02A,C04B,N
748,C02B,C04A,N
749,C02C,C04B,N
750,C02A,C04A,N
751,C02B,C04B,Y
752,C02C,C04A,N
753,C02C,C04A,N
754,C02B,C04A,N
755,C02B,C04A,N
756,C02D,C04B,N
757,C02D,C04B,N
758,C02B,C04A,N
759,C02C,C04A,N
760,C02C,C04A,N
761,C02B,C04A,Y
762,C02D,C04B,N
763,C02C,C04B,N
764,C02D,C04A,N
765,C02B,C04A,N
766,C02C,C04A,N
767,C02D,C04A,N
768,C02B,C04A,N
769,C02C,C04B,N
770,C02D,C04B,N
771,C02A,C04A,N
772,C02B,C04B,N
773,C02C,C04B,N
774,C02D,C04B,N
775,C02C,C04A,N
776,C02C,C04B,Y
777,C02C,C04A,N
778,C02C,C04A,N
779,C02C,C04B,N
780,C02B,C04B,N
781,C02C,C04A,N
782,C02C,C04A,N
783,C02B,C04A,N
784,C02A,C04B,Y
785,C02B,C04B,N
786,C02D,C04A,N
787,C02C,C04B,N
788,C02A,C04A,N
789,C02B,C04B,N
790,C02C,C04A,N
791,C02B,C04B,N
792,C02B,C04B,N
793,C02C,C04B,N
794,C02C,C04A,Y
795,C02A,C04B,N
796,C02C,C04B,N
797,C02B,C04B,N
798,C02A,C04B,N
799,C02C,C04B,N
800,C02B,C04B,N
801,C02C,C04B,N
802,C02C,C04B,N
803,C02B,C04B,N
804,C02C,C04A,N
805,C02B,C04A,N
806,C02B,C04A,Y
807,C02C,C04B,N
808,C02D,C04B,N
809,C02A,C04B,Y
810,C02B,C04A,N
811,C02B,C04A,N
812,C02C,C04A,N
813,C02B,C04A,N
814,C02B,C04A,N
815,C02B,C04B,N
816,C02A,C04A,Y
817,C02D,C04A,N
818,C02D,C04B,N
819,C02B,C04B,N
820,C02A,C04A,Y
821,C02B,C04A,N
822,C02C,C04A,N
823,C02A,C04B,N
824,C02D,C04B,N
825,C02A,C04B,N
826,C02C,C04A,Y
827,C02D,C04B,N
828,C02B,C04B,N
829,C02A,C04B,N
830,C02D,C04B,Y
831,C02C,C04B,N
832,C02A,C04A,N
833,C02B,C04B,N
834,C02D,C04B,N
835,C02C,C04B,N
836,C02C,C04A,N
837,C02D,C04A,N
838,C02C,C04A,N
839,C02A,C04A,N
840,C02B,C04B,N
841,C02B,C04B,N
842,C02B,C04B,N
843,C02C,C04A,N
844,C02C,C04B,Y
845,C02B,C04A,N
846,C02C,C04B,N
847,C02C,C04A,N
848,C02B,C04B,N
849,C02C,C04B,N
850,C02D,C04A,N
851,C02A,C04B,N
852,C02D,C04A,N
853,C02B,C04B,N
854,C02B,C04B,N
855,C02A,C04B,N
856,C02D,C04B,N
857,C02D,C04A,N
858,C02C,C04A,N
859,C02B,C04A,N
860,C02B,C04A,N
861,C02C,C04B,N
862,C02C,C04B,N
863,C02C,C04B,N
864,C02C,C04A,N
865,C02C,C04B,N
866,C02C,C04A,N
867,C02D,C04A,N
868,C02C,C04B,N
869,C02B,C04B,N
870,C02D,C04B,N
871,C02B,C04A,N
872,C02B,C04B,N
873,C02B,C04A,Y
874,C02B,C04B,N
875,C02B,C04A,Y
876,C02D,C04A,N
877,C02A,C04A,N
878,C02C,C04B,Y
879,C02D,C04B,N
880,C02B,C04A,N
881,C02C,C04B,N
882,C02B,C04A,N
883,C02A,C04B,N
884,C02A,C04A,N
885,C02C,C04A,N
886,C02C,C04B,Y
887,C02B,C04B,N
888,C02A,C04A,Y
889,C02D,C04B,N
890,C02B,C04B,N
891,C02C,C04B,N
892,C02D,C04A,N
893,C02A,C04B,N
894,C02A,C04A,N
895,C02B,C04A,N
896,C02B,C04B,N
897,C02C,C04A,N
898,C02C,C04A,N
899,C02B,C04B,N
900,C02B,C04B,N
901,C02C,C04A,Y
902,C02A,C04A,N
903,C02A,C04B,N
904,C02A,C04B,N
905,C02B,C04A,N
906,C02D,C04B,N
907,C02B,C04B,N
908,C02A,C04A,Y
909,C02D,C04A,Y
910,C02D,C04A,N
911,C02B,C04B,N
912,C02C,C04A,N
913,C02A,C04A,N
914,C02B,C04A,N
915,C02A,C04A,N
916,C02C,C04B,N
917,C02B,C04B,N
918,C02B,C04B,N
919,C02B,C04B,N
920,C02D,C04A,N
921,C02B,C04B,N
922,C02C,C04A,N
923,C02C,C04A,N
924,C02A,C04B,N
925,C02B,C04B,N
926,C02B,C04B,Y
927,C02D,C04B,N
928,C02C,C04B,N
929,C02A,C04B,Y
930,C02A,C04A,N
931,C02B,C04A,N
932,C02B,C04A,N
933,C02D,C04A,N
934,C02B,C04A,N
935,C02A,C04B,N
936,C02D,C04B,Y
937,C02A,C04B,Y
938,C02A,C04B,N
939,C02C,C04A,Y
940,C02B,C04A,N
941,C02D,C04B,N
942,C02B,C04B,N
943,C02B,C04A,N
944,C02C,C04B,N
945,C02C,C04B,N
946,C02B,C04A,N
947,C02B,C04A,N
948,C02C,C04A,N
949,C02B,C04A,N
950,C02D,C04A,N
951,C02D,C04B,N
952,C02C,C04A,N
953,C02C,C04B,N
954,C02C,C04B,N
955,C02A,C04B,N
956,C02B,C04A,N
957,C02B,C04B,Y
958,C02B,C04B,N
959,C02B,C04A,Y
960,C02D,C04A,N
961,C02D,C04A,N
962,C02C,C04B,N
963,C02B,C04A,N
964,C02D,C04A,Y
965,C02C,C04B,N
966,C02B,C04B,N
967,C02B,C04B,Y
968,C02D,C04B,N
969,C02B,C04A,Y
970,C02A,C04B,N
971,C02C,C04A,N
972,C02B,C04B,Y
973,C02D,C04B,N
974,C02B,C04B,N
975,C02C,C04B,N
976,C02C,C04B,N
977,C02C,C04A,N
978,C02C,C04B,Y
979,C02B,C04A,N
980,C02C,C04B,Y
981,C02C,C04A,N
982,C02D,C04A,N
983,C02A,C04A,N
984,C02B,C04B,Y
985,C02A,C04B,N
986,C02B,C04A,N
987,C02C,C04A,N
988,C02C,C04A,Y
989,C02B,C04A,N
990,C02D,C04B,N
991,C02D,C04B,N
992,C02B,C04B,N
993,C02A,C04B,N
994,C02A,C04B,N
995,C02D,C04A,N
996,C02C,C04B,Y
997,C02C,C04B,N
998,C02B,C04A,N
999,C02D,C04B,N
1000,C02D,C04B,N
1001,C02C,C04B,Y
1002,C02B,C04A,N
1003,C02A,C04B,N
1004,C02B,C04B,N
1005,C02B,C04A,Y
1006,C02B,C04A,N
1007,C02B,C04A,N
1008,C02C,C04A,N
1009,C02B,C04A,N
1010,C02D,C04A,N
1011,C02B,C04B,N
1012,C02B,C04A,N
1013,C02B,C04B,N
1014,C02A,C04B,N
1015,C02A,C04B,N
1016,C02C,C04A,N
1017,C02B,C04A,N
1018,C02B,C04B,N
1019,C02D,C04B,N
1020,C02C,C04A,N
1021,C02C,C04B,N
1022,C02D,C04B,N
1023,C02C,C04B,N
1024,C02C,C04A,N
1025,C02D,C04A,N
1026,C02B,C04B,N
1027,C02D,C04B,N
1028,C02D,C04A,N
1029,C02A,C04A,N
1030,C02C,C04A,N
1031,C02A,C04B,N
1032,C02C,C04A,N
1033,C02C,C04A,N
1034,C02C,C04B,N
1035,C02C,C04B,N
1036,C02A,C04A,Y
1037,C02A,C04B,N
1038,C02C,C04B,N
1039,C02B,C04B,Y
1040,C02B,C04A,N
1041,C02C,C04B,N
1042,C02B,C04B,N
1043,C02B,C04B,N
1044,C02B,C04A,N
1045,C02B,C04B,N
1046,C02D,C04B,N
1047,C02B,C04B,Y
1048,C02D,C04B,N
1049,C02A,C04A,N
1050,C02C,C04A,N
1051,C02D,C04B,N
1052,C02C,C04B,N
1053,C02C,C04B,N
1054,C02B,C04A,N
1055,C02C,C04B,N
1056,C02B,C04B,N
1057,C02B,C04B,N
1058,C02B,C04A,Y
1059,C02D,C04B,Y
1060,C02B,C04A,Y
1061,C02C,C04B,Y
1062,C02C,C04A,N
1063,C02B,C04B,Y
1064,C02D,C04A,N
1065,C02C,C04A,N
1066,C02B,C04B,N
1067,C02C,C04A,N
1068,C02B,C04A,N
1069,C02B,C04B,N
1070,C02C,C04A,N
1071,C02D,C04A,Y
1072,C02C,C04B,N
1073,C02C,C04B,Y
1074,C02B,C04B,N
1075,C02B,C04A,N
1076,C02C,C04A,N
1077,C02B,C04B,N
1078,C02C,C04B,Y
1079,C02C,C04A,N
1080,C02D,C04B,N
1081,C02C,C04B,Y
1082,C02A,C04B,N
1083,C02B,C04A,N
1084,C02A,C04A,N
1085,C02D,C04B,N
1086,C02C,C04A,N
1087,C02B,C04B,N
1088,C02C,C04A,N
1089,C02B,C04A,N
1090,C02B,C04A,Y
1091,C02C,C04A,N
1092,C02C,C04A,N
1093,C02D,C04B,N
1094,C02B,C04A,N
1095,C02A,C04A,N
1096,C02C,C04B,N
1097,C02B,C04A,Y
1098,C02C,C04A,N
1099,C02D,C04B,N
1100,C02A,C04B,N
1101,C02D,C04A,N
1102,C02D,C04B,N
1103,C02B,C04B,N
1104,C02B,C04B,N
1105,C02C,C04A,N
1106,C02C,C04A,N
1107,C02B,C04A,N
1108,C02A,C04A,N
1109,C02B,C04A,N
1110,C02A,C04B,N
1111,C02C,C04B,N
1112,C02C,C04A,Y
1113,C02C,C04A,Y
1114,C02C,C04B,N
1115,C02C,C04B,Y
1116,C02B,C04A,N
1117,C02A,C04B,Y
1118,C02B,C04B,N
1119,C02C,C04A,N
1120,C02A,C04A,N
1121,C02C,C04B,N
1122,C02B,C04A,N
1123,C02B,C04B,N
1124,C02A,C04B,N
1125,C02A,C04B,N
1126,C02C,C04B,N
1127,C02B,C04B,N
1128,C02C,C04A,N
1129,C02A,C04A,N
1130,C02B,C04B,N
1131,C02C,C04A,Y
1132,C02A,C04B,N
1133,C02D,C04A,Y
1134,C02B,C04B,N
1135,C02D,C04A,N
