Period,Indicator,Dimension,Dimension_category,Sex,Measure
2015,Psychological distress,Ethnicity,Asian,Female,8.3
2015,Psychological distress,Ethnicity,Asian,Male,4.1
2015,Psychological distress,Ethnicity,Asian,Total,6.1
2015,Psychological distress,Ethnicity,European/Other,Female,7.9
2015,Psychological distress,Ethnicity,European/Other,Male,4.7
2015,Psychological distress,Ethnicity,European/Other,Total,6.4
2015,Psychological distress,Ethnicity,Māori,Female,13.3
2015,Psychological distress,Ethnicity,Māori,Male,7.5
2015,Psychological distress,Ethnicity,Māori,Total,10.5
2015,Psychological distress,Ethnicity,Pacific,Female,14.1
2015,Psychological distress,Ethnicity,Pacific,Male,7.8
2015,Psychological distress,Ethnicity,Pacific,Total,11.2
2015,Psychological distress,Quintile,Quintile 1,Female,4.4
2015,Psychological distress,Quintile,Quintile 1,Male,3.2
2015,Psychological distress,Quintile,Quintile 1,Total,3.8
2015,Psychological distress,Quintile,Quintile 2,Female,6.6
2015,Psychological distress,Quintile,Quintile 2,Male,3.5
2015,Psychological distress,Quintile,Quintile 2,Total,5.1
2015,Psychological distress,Quintile,Quintile 3,Female,8.6
2015,Psychological distress,Quintile,Quintile 3,Male,4.6
2015,Psychological distress,Quintile,Quintile 3,Total,6.6
2015,Psychological distress,Quintile,Quintile 4,Female,9.2
2015,Psychological distress,Quintile,Quintile 4,Male,5.5
2015,Psychological distress,Quintile,Quintile 4,Total,7.5
2015,Psychological distress,Quintile,Quintile 5,Female,14.1
2015,Psychological distress,Quintile,Quintile 5,Male,8.7
2015,Psychological distress,Quintile,Quintile 5,Total,11.5
2015,Psychological distress,Total_population,Total,Female,8.6
2015,Psychological distress,Total_population,Total,Male,5
2015,Psychological distress,Total_population,Total,Total,6.8
2016,Psychological distress,Age_group_5_year,15-24,Female,15.3
2016,Psychological distress,Age_group_5_year,15-24,Male,8.6
2016,Psychological distress,Age_group_5_year,15-24,Total,11.8
2016,Psychological distress,Age_group_5_year,25-34,Female,9.7
2016,Psychological distress,Age_group_5_year,25-34,Male,7.9
2016,Psychological distress,Age_group_5_year,25-34,Total,8.8
2016,Psychological distress,Age_group_5_year,35-44,Female,6.7
2016,Psychological distress,Age_group_5_year,35-44,Male,5.9
2016,Psychological distress,Age_group_5_year,35-44,Total,6.3
2016,Psychological distress,Age_group_5_year,45-54,Female,8
2016,Psychological distress,Age_group_5_year,45-54,Male,5.4
2016,Psychological distress,Age_group_5_year,45-54,Total,6.7
2016,Psychological distress,Age_group_5_year,55-64,Female,6.9
2016,Psychological distress,Age_group_5_year,55-64,Male,6.3
2016,Psychological distress,Age_group_5_year,55-64,Total,6.6
2016,Psychological distress,Age_group_5_year,65-74,Female,6.7
2016,Psychological distress,Age_group_5_year,65-74,Male,4.1
2016,Psychological distress,Age_group_5_year,65-74,Total,5.4
2016,Psychological distress,Age_group_5_year,75+,Female,4.1
2016,Psychological distress,Age_group_5_year,75+,Male,4.4
2016,Psychological distress,Age_group_5_year,75+,Total,4.3
2016,Psychological distress,Ethnicity,Asian,Female,6.2
2016,Psychological distress,Ethnicity,Asian,Male,4.9
2016,Psychological distress,Ethnicity,Asian,Total,5.5
2016,Psychological distress,Ethnicity,European/Other,Female,8.2
2016,Psychological distress,Ethnicity,European/Other,Male,6.5
2016,Psychological distress,Ethnicity,European/Other,Total,7.3
2016,Psychological distress,Ethnicity,Māori,Female,14.2
2016,Psychological distress,Ethnicity,Māori,Male,8.6
2016,Psychological distress,Ethnicity,Māori,Total,11.5
2016,Psychological distress,Ethnicity,Pacific,Female,17.2
2016,Psychological distress,Ethnicity,Pacific,Male,6
2016,Psychological distress,Ethnicity,Pacific,Total,11.8
2016,Psychological distress,Quintile,Quintile 1,Female,4.7
2016,Psychological distress,Quintile,Quintile 1,Male,4.8
2016,Psychological distress,Quintile,Quintile 1,Total,4.8
2016,Psychological distress,Quintile,Quintile 2,Female,7
2016,Psychological distress,Quintile,Quintile 2,Male,3.1
2016,Psychological distress,Quintile,Quintile 2,Total,5
2016,Psychological distress,Quintile,Quintile 3,Female,7.5
2016,Psychological distress,Quintile,Quintile 3,Male,6.9
2016,Psychological distress,Quintile,Quintile 3,Total,7.2
2016,Psychological distress,Quintile,Quintile 4,Female,11
2016,Psychological distress,Quintile,Quintile 4,Male,8
2016,Psychological distress,Quintile,Quintile 4,Total,9.5
2016,Psychological distress,Quintile,Quintile 5,Female,13
2016,Psychological distress,Quintile,Quintile 5,Male,9.9
2016,Psychological distress,Quintile,Quintile 5,Total,11.5
2016,Psychological distress,Total_population,Total,Female,8.7
2016,Psychological distress,Total_population,Total,Male,6.4
2016,Psychological distress,Total_population,Total,Total,7.6
2017,Psychological distress,Age_group_5_year,15-24,Female,17.3
2017,Psychological distress,Age_group_5_year,15-24,Male,9.4
2017,Psychological distress,Age_group_5_year,15-24,Total,13.2
2017,Psychological distress,Age_group_5_year,25-34,Female,12.1
2017,Psychological distress,Age_group_5_year,25-34,Male,8.3
2017,Psychological distress,Age_group_5_year,25-34,Total,10.2
2017,Psychological distress,Age_group_5_year,35-44,Female,7.8
2017,Psychological distress,Age_group_5_year,35-44,Male,6.7
2017,Psychological distress,Age_group_5_year,35-44,Total,7.3
2017,Psychological distress,Age_group_5_year,45-54,Female,9
2017,Psychological distress,Age_group_5_year,45-54,Male,7.7
2017,Psychological distress,Age_group_5_year,45-54,Total,8.4
2017,Psychological distress,Age_group_5_year,55-64,Female,7.8
2017,Psychological distress,Age_group_5_year,55-64,Male,7.1
2017,Psychological distress,Age_group_5_year,55-64,Total,7.4
2017,Psychological distress,Age_group_5_year,65-74,Female,6.2
2017,Psychological distress,Age_group_5_year,65-74,Male,3.3
2017,Psychological distress,Age_group_5_year,65-74,Total,4.8
2017,Psychological distress,Age_group_5_year,75+,Female,6.5
2017,Psychological distress,Age_group_5_year,75+,Male,3.9
2017,Psychological distress,Age_group_5_year,75+,Total,5.3
2017,Psychological distress,Ethnicity,Asian,Female,6.5
2017,Psychological distress,Ethnicity,Asian,Male,4.6
2017,Psychological distress,Ethnicity,Asian,Total,5.6
2017,Psychological distress,Ethnicity,European/Other,Female,9.9
2017,Psychological distress,Ethnicity,European/Other,Male,7.3
2017,Psychological distress,Ethnicity,European/Other,Total,8.6
2017,Psychological distress,Ethnicity,Māori,Female,17.5
2017,Psychological distress,Ethnicity,Māori,Male,9.9
2017,Psychological distress,Ethnicity,Māori,Total,13.9
2017,Psychological distress,Ethnicity,Pacific,Female,11.5
2017,Psychological distress,Ethnicity,Pacific,Male,10.6
2017,Psychological distress,Ethnicity,Pacific,Total,11
2017,Psychological distress,Quintile,Quintile 1,Female,6.1
2017,Psychological distress,Quintile,Quintile 1,Male,5.5
2017,Psychological distress,Quintile,Quintile 1,Total,5.8
2017,Psychological distress,Quintile,Quintile 2,Female,6.5
2017,Psychological distress,Quintile,Quintile 2,Male,5.1
2017,Psychological distress,Quintile,Quintile 2,Total,5.8
2017,Psychological distress,Quintile,Quintile 3,Female,10
2017,Psychological distress,Quintile,Quintile 3,Male,6.6
2017,Psychological distress,Quintile,Quintile 3,Total,8.3
2017,Psychological distress,Quintile,Quintile 4,Female,14
2017,Psychological distress,Quintile,Quintile 4,Male,8.4
2017,Psychological distress,Quintile,Quintile 4,Total,11.2
2017,Psychological distress,Quintile,Quintile 5,Female,13.5
2017,Psychological distress,Quintile,Quintile 5,Male,10.3
2017,Psychological distress,Quintile,Quintile 5,Total,12
2017,Psychological distress,Total_population,Total,Female,10
2017,Psychological distress,Total_population,Total,Male,7.1
2017,Psychological distress,Total_population,Total,Total,8.6
